"facility_name","RN_Fluctuation","CNA_Fluctuation","avg_census"
"HUNTINGTON HILLS CTR FOR HEALTH AND REHABILITATION","57.398607614252555","36.146318451421116","300.9555555555556"
"WAYNE CENTER FOR NURSING & REHABILITATION","56.59688911148163","21.3650925256269","240.05555555555554"
"LACONIA NURSING HOME","55.40980174876737","16.277992311948825","232.61111111111111"
"NORTHWELL HEALTH STERN FAMILY CENTER FOR REHAB","55.38923679596026","40.64080807389141","235.24444444444444"
"HENRY J CARTER SKILLED NURSING FACILITY","54.98461601692037","29.663581620621613","151.4111111111111"
"KING DAVID POST ACUTE NURSING & REHABILITATION LLC","54.4887830425989","62.39255688347961","314.2111111111111"
"FAIR ACRES GERIATRIC CENTER","54.41177079326345","57.74201976572634","427.1"
"SPAULDING NURSING AND THERAPY CENTER - BRIGHTON","54.19401754743715","19.356673888602714","79.41111111111111"
"BROOKSIDE MULTICARE NURSING CENTER","53.536930566356276","41.15152607711552","309.14444444444445"
"SILVERCREST","53.19328144701146","31.384901426096093","308.0"
"JACKSON MEMORIAL LONG TERM CARE CENTER","52.792829675710124","24.248986265282987","168.94444444444446"
"STELLA MARIS  INC.","52.43788776465163","41.13311595472622","339.53333333333336"
"DRY HARBOR NURSING HOME","52.06627977899311","29.40235219513469","344.7111111111111"
"GURWIN JEWISH NURSING AND REHABILITATION CENTER","51.99294073614234","34.41887928502959","390.85555555555555"
"PEARL OF HILLSIDE THE","51.70331708734141","32.433906265852684","149.96666666666667"
"MEDFORD MULTICARE CENTER FOR LIVING","50.9407318220497","40.83101996177174","259.02222222222224"
"MEADOWBROOK MANOR - NAPERVILLE","50.41476661445836","29.00618667200204","194.4111111111111"
"VOORHEES PEDIATRIC FACILITY","50.25363335047902","47.42435318863526","107.13333333333334"
"THE FIVE TOWNS PREMIER REHAB & NURSING CENTER","50.17512994171088","30.446439819629987","268.6666666666667"
"MN VETERANS HOME MINNEAPOLIS","50.058782549738936","33.56665020883373","261.3"
"FAIRVIEW NURSING CARE CENTER INC","49.50721579258514","28.45118402152355","198.36666666666667"
"CARILLON NURSING AND REHABILITATION CENTER","49.07715476314416","31.16173465525839","249.17777777777778"
"ROYAL SPRINGS HEALTHCARE AND REHAB","48.91553013756675","32.86862207491548","217.2"
"RIVIERA HEALTH RESORT","48.643705222159255","29.020266068673966","215.57777777777778"
"ADIRA AT RIVERSIDE REHABILITATION AND NURSING","48.243053438357116","14.150597021589435","116.55555555555556"
"MIAMI JEWISH HEALTH SYSTEMS  INC","48.238707962931635","47.515981902339874","307.76666666666665"
"NEW GOUVERNEUR HOSPITAL S N F","47.28327850382504","26.93178439590912","277.23333333333335"
"MEADOWBROOK MANOR - LAGRANGE","47.19822776131505","31.332278630004094","171.7888888888889"
"PREMIER REHAB AND HEALTHCARE","47.030267948196176","32.344256031183846","233.44444444444446"
"N J VETERANS MEM HOME PARAMUS","46.992420002349384","38.59895299798108","194.94444444444446"
"UNION PLAZA CARE CENTER","46.92882238114701","16.995157935671763","267.06666666666666"
"CAPITOL CITY REHAB AND HEALTHCARE CENTER","46.90177001434858","45.01960123156208","283.6"
"ST CABRINI NURSING HOME","46.81563214625096","43.44092010279113","282.85555555555555"
"JEWISH HOME & REHAB CENTER D/P SNF","46.77361207472493","37.81004650266617","339.1222222222222"
"HILLSIDE MANOR REHAB & EXTENDED CARE CENTER","46.592366279312515","40.41655025273786","352.44444444444446"
"HALE NANI REHABILITATION AND NURSING CENTER","46.48743202377273","27.738409306385712","269.0888888888889"
"SHORE VIEW NURSING  & REHABILITATION CENTER","46.40018904114102","21.54040985055156","288.0777777777778"
"MONTECITO POST ACUTE CARE AND REHABILITATION","46.39349900041623","47.566975685469075","185.86666666666667"
"TERENCE CARDINAL COOKE HEALTH CARE CENTER","46.372244740895994","50.306827639982224","521.3777777777777"
"CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER","46.2340200824433","35.13279782690338","208.7111111111111"
"BRIA OF PALOS HILLS","46.068515391697716","29.65189523377202","149.7111111111111"
"ROCKCASTLE REGIONAL HOSPITAL AND RESPIRATORY CARE","45.87144836599121","42.32205286801818","108.4"
"ALL SAINTS HEALTHCARE SUBACUTE","45.76981591767587","62.94007722514277","112.47777777777777"
"LYNGBLOMSTEN CARE CENTER","45.5004150870751","23.709739678410166","211.87777777777777"
"TOWNHOUSE CENTER FOR REHABILITATION & NURSING","45.27602527021152","35.01655700138774","266.6"
"MORNINGSIDE NURSING AND REHABILITATION CENTER","44.92276306326847","17.069634582996056","304.4222222222222"
"SPRING CREEK REHABILITATION & NURSING CARE CENTER","44.91673335252947","25.7515083185202","179.88888888888889"
"JACKSON MEMORIAL PERDUE MEDICAL CENTER","44.90829025242172","15.458591137295222","153.76666666666668"
"IOWA VETERANS HOME","44.88791060174535","32.67047539760314","341.72222222222223"
"TARRYTOWN HALL CARE CENTER","44.83567355415562","12.079837530160587","104.03333333333333"
"CARMEL RICHMOND HEALTHCARE AND REHAB CENTER","44.6863273573041","25.725718373452903","299.1666666666667"
"TEN BROECK COMMONS","44.68043902683118","27.680922872244118","245.0"
"ST. ELIZABETH REHAB. & NSG. CE","44.672581047528865","25.17734290002855","146.26666666666668"
"CHILDSERVE HABILITATION CENTER","44.58082679505622","19.620089424064073","67.62222222222222"
"SANDS POINT CENTER FOR HEALTH AND REHABILITATION","44.54922687873206","26.54974660790231","163.01111111111112"
"KING DAVID CENTER FOR NURSING AND REHABILITATION","44.2842099319862","30.686583791317066","264.2888888888889"
"BETHESDA","44.27322864298211","29.12168243367877","189.87777777777777"
"LIVINGSTON COUNTY CENTER FOR NURSING AND REHAB","43.747711199926584","49.46080796368361","252.56666666666666"
"FUTURE CARE CAPITAL REGION","43.624408828515435","31.490881728247494","143.7111111111111"
"LEE MANOR","43.48956232286691","18.46528591448549","212.35555555555555"
"OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR","43.32730344876574","24.35883504752089","268.34444444444443"
"FUTURE CARE HOMEWOOD","42.971633679944986","18.772569045784646","133.74444444444444"
"THE VILLAS AT POWAY","42.91276838252936","31.98376713339251","95.2"
"MINNESOTA MASONIC HOME CARE CENTER","42.80151455046433","28.61498981320782","157.7888888888889"
"ABERNETHY LAURELS","42.725486903060585","27.691396117465384","157.12222222222223"
"ADVANCED CENTER FOR NURSING & REHABILITATION","42.62250712300151","27.76408846517606","217.93333333333334"
"BRONX GARDENS REHABILITATION AND NURSING CENTER","42.44202773021907","27.606726549702163","195.4777777777778"
"DOUGLAS COUNTY HEALTH CENTER","41.94666850096979","35.23303642855638","228.84444444444443"
"LEAHI HOSPITAL","41.859926387792406","4.240745230113812","102.3"
"COBBLE HILL HEALTH CENTER INC","41.790937717842525","29.639451719939373","348.96666666666664"
"DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER","41.739982544704944","17.936690083397522","294.93333333333334"
"OZANAM HALL OF QUEENS NURSING HOME INC","41.697447432031936","42.15905173205769","351.05555555555554"
"BELLHAVEN CENTER FOR REHAB AND NURSING CARE","41.47610355368913","31.311628911737568","236.12222222222223"
"LUTHERAN HOME FOR THE AGED","40.73903424333153","36.8018521610989","260.5777777777778"
"ORLANDO HEALTH AND REHABILITATION CENTER","40.711484482747785","22.187639855549094","376.81111111111113"
"CRESTVIEW CENTER","40.6908343400917","30.45040326395335","159.72222222222223"
"MOZAIC SENIOR LIFE","40.6151126654244","57.633948394905886","284.5111111111111"
"THORNAPPLE MANOR","40.374223617648525","24.335381459786582","140.9111111111111"
"VAN RENSSELAER MANOR","40.09735431463911","43.572037371451046","252.56666666666666"
"SOUTH DADE NURSING AND REHABILITATION CENTER","40.079497467259586","12.75709271275778","175.51111111111112"
"ST AUGUSTINE MANOR","40.00745443959887","38.09246053109931","184.8111111111111"
"SMP HEALTH - ST RAPHAEL","39.9126544197947","23.573640330133184","160.7888888888889"
"SEA CREST NURSING AND REHABILITATION CENTER","39.871780642505506","13.160416772290384","274.85555555555555"
"RIVER CITY CENTER","39.534097476720994","28.298121301823908","155.0"
"FRANKLIN WOODS CENTER","39.507012748495555","21.855909432979715","108.71111111111111"
"PLYMOUTH PLACE","39.39126452518793","30.66096837480115","71.36666666666666"
"HEBREW HOME FOR THE AGED AT RIVERDALE","39.34803849727482","34.213684306432484","475.47777777777776"
"ALARIS HEALTH AT THE CHATEAU","39.26942850299184","26.85178320083543","184.57777777777778"
"COVENANT VILLAGE CARE CENTER","39.19965666902204","23.059868974566463","54.50276243093923"
"GRAND TRAVERSE PAVILIONS","39.11979380955486","38.854272394725776","156.96666666666667"
"THE PINES AT POUGHKEEPSIE CTR FOR NURSING & REHAB","39.07836488068322","30.997608869362445","188.44444444444446"
"PEARL CITY NURSING HOME","38.840272224825185","20.76545264826366","108.23333333333333"
"DUMONT CENTER FOR REHABILITATION AND NURSING CARE","38.773614576299316","21.525709467219784","188.96666666666667"
"RIVERSIDE REST HOME","38.74954491876538","34.592295168453404","152.27777777777777"
"DUPAGE CARE CENTER","38.655780706415335","22.494793405076624","210.53333333333333"
"PREMIER WASHINGTON REHABILITATION AND NURSING CTR","38.62866687828118","36.73917927080054","257.0444444444444"
"MIDDLETOWN PARK REHAB & HEALTH CARE CENTER","38.53871266136825","46.591437490602274","214.4"
"BRIDGEPOINT SUB-ACUTE & REHAB NATIONAL HARBORSIDE","38.431595993649374","18.973481438575742","120.88888888888889"
"GLEN HAVEN HEALTH AND REHABILITATION  LLC","38.352306757952604","26.7972024249995","181.0"
"HAWTHORNE CENTER FOR REHABILITATION AND HEALING OF","38.174258424915124","30.906650239156058","113.92817679558011"
"VETERANS HOME OF CALIFORNIA - YOUNTVILLE -  SNF","37.73548422316647","26.719341849531364","205.01111111111112"
"NORTH COUNTRY NURSING & REHABILITATION CENTER","37.681359203997324","16.291604045015045","133.8"
"QUEENS BOULEVARD EXTENDED CARE FACILITY","37.60625863074187","25.64639527207678","270.27777777777777"
"SPLIT ROCK REHABILITION AND HEALTH CARE CENTER","37.491599246297085","20.57908984446268","217.57777777777778"
"ROSSMOOR POST ACUTE","37.43266584706705","41.999497833599655","137.1"
"BENSONHURST CENTER FOR REHAB AND HEALTHCARE","37.37325594069525","28.550433846328104","199.15555555555557"
"SAPPHIRE CENTER FOR REHAB & NURSING","37.36489854055965","17.862646984794015","218.0"
"HAZARD HEALTH AND REHABILITATION CENTER","37.20714336239944","30.02606022374144","147.72222222222223"
"CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER","37.191204332627166","24.830299615406297","166.51111111111112"
"NORTH RIDGE HEALTH AND REHAB","37.08967392285281","35.56928895392693","240.26666666666668"
"PEARL OF HINSDALE  THE","37.0689716419555","23.39499002341091","130.51111111111112"
"PARKSIDE VILLA","37.01820445705125","26.06448475977914","162.42222222222222"
"NORTHERN MANHATTAN REHABILITATION AND NURSING CTR","36.99621610708583","26.313450898537862","312.35555555555555"
"LARSEN HEALTH CENTER","36.950683333488406","25.901554562809658","143.64444444444445"
"GREENTREE SKILLED NURSING AND REHABILITATION CTR","36.91152354642739","22.586629455200086","158.38888888888889"
"MENORAH HOME & HOSPITAL FOR AGED & INFIRM","36.83858057567987","32.45725268808814","425.3888888888889"
"RICHMOND CTR FOR REHAB AND SPECIALTY HEALTHCARE","36.765985677952536","46.69803186190272","359.05555555555554"
"JAMAICA HOSPITAL NURSING HOME CO INC","36.74497573368304","18.08993167521966","220.45555555555555"
"SCHULMAN AND SCHACHNE INST FOR NURSING & REHAB","36.74377152406211","55.63864450311725","392.85555555555555"
"WARREN BARR ORLAND PARK","36.68776388802049","32.320630096618224","182.93333333333334"
"SWAN LAKE NURSING & REHABILITATION","36.44726450486566","20.360163922935122","93.17777777777778"
"SHAKER PLACE REHABILITATION AND NURSING CENTER","36.430502646767444","43.016504540947395","243.01111111111112"
"N Y S VETERANS HOME IN N Y C","36.428040278146085","29.867317496323878","153.67777777777778"
"DAUGHTERS OF MIRIAM CENTER FOR NURSING & REHABILIT","36.42677055386285","33.880993251494274","149.24444444444444"
"UNIQUE REHABILITATION AND HEALTH CENTER LLC","36.408193076505874","25.096943904006498","220.16666666666666"
"GLENVIEW TERRACE","36.27397620712618","20.489069434509094","245.83333333333334"
"BRIA OF ELMWOOD PARK","36.176764944371655","33.29098463603256","153.63333333333333"
"HARTWYCK AT OAK TREE","36.101080836226586","32.514798497960555","93.6"
"MAINE VETERANS HOME - SCARBOROUGH","35.950886439002716","18.413561201920032","111.5111111111111"
"RIVER VIEW REHAB CENTER","35.85614170772069","14.321481456005404","163.25555555555556"
"NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION","35.84989480968067","20.069025705276555","108.43333333333334"
"NEW VISTA NURSING & REHABILITATION CTR","35.759676169713785","36.34001597194977","269.3888888888889"
"CONCOURSE REHABILITATION AND NURSING CENTER INC","35.75087282684847","25.515417238484122","238.36666666666667"
"JOSEPH L MORSE HEALTH CENTER INC THE","35.604357340252015","24.91492588415748","156.67777777777778"
"ELEVATE CARE WAUKEGAN","35.55857957596834","28.267913420569784","186.1"
"NORTHEAST CTR FOR REHABILITATION AND BRAIN INJURY","35.5122691122556","38.68581122799538","256.5111111111111"
"THE HAMPTONS CENTER FOR REHABILITATION AND NURSING","35.45369494143013","28.77033185854664","230.2"
"EAST NECK NURSING & REHABILITATION CENTER","35.43647671856629","32.965790144742535","259.25555555555553"
"APPLE VALLEY VILLAGE HEALTH CARE CENTER","35.37942236444015","23.421252233383573","150.2"
"VALLEY SENIOR LIVING ON COLUMBIA","35.33711131005336","24.463341774926807","184.38888888888889"
"ALLEGRIA NURSING & REHAB CENTER OF PORT JEFFERSON","35.265607571729795","21.095681495931288","133.56666666666666"
"MARGARET TIETZ CENTER FOR NURSING CARE INC","35.24745649334809","12.366321033296986","195.65555555555557"
"JOHN KNOX VILLAGE CARE CENTER","35.076282680973414","30.90107864892853","111.03333333333333"
"HUDSON HILL CENTER FOR REHABILITATION & NURSING","35.024459961266516","26.3597223829722","276.4555555555556"
"BRIA OF WESTMONT","34.96597437004496","25.043088651799245","172.42222222222222"
"HOLDEN REHABILITATION & NURSING CENTER","34.95195538106887","37.439176728655774","113.42222222222222"
"CLARENCE TC CHING VILLAS AT ST FRANCIS","34.94785965852789","12.360528453537835","105.88888888888889"
"SABAL PALMS HEALTH & REHABILITATION","34.93038155621096","35.522832438766","201.0"
"INDIANA VETERANS HOME","34.89592671558724","24.191779449250042","112.37777777777778"
"PREAKNESS HEALTHCARE CENTER","34.84961717175342","28.05886791358367","273.1666666666667"
"ST JOHNLAND NURSING CENTER INC","34.82428291292586","33.06558430103026","231.96666666666667"
"WEALSHIRE CTR OF EXCELLENCE","34.789726391881445","18.40797464544095","69.33333333333333"
"LINDEN CENTER FOR NURSING AND REHABILITATION","34.74018287038318","33.843435997433225","275.2888888888889"
"CEDARBROOK SENIOR CARE AND REHABILITATION","34.51571273436784","60.99334995570166","510.4111111111111"
"ALARIS HEALTH AT ST MARY'S","34.48225668401418","26.295055819805288","159.3111111111111"
"MASSAPEQUA CENTER REHABILITATION & NURSING","34.45547787286984","39.92824541644017","308.81111111111113"
"WESTCHESTER CENTER FOR REHABILITATION & NURSING","34.267738933492836","20.618951085897812","224.44444444444446"
"BRUCEVILLE TERRACE - D/P SNF OF METHODIST HOSPITAL","34.24173227805544","22.852358049608142","160.46666666666667"
"ELEVATE CARE ABINGTON","34.0352253892429","16.49148784519804","120.91111111111111"
"SERENITY REHABILITATION AND HEALTH CENTER LLC","33.989445032178814","25.222576608794686","176.6888888888889"
"GLEN ISLAND CENTER FOR NURSING AND REHABILITATION","33.98273777841266","9.969037584543827","171.9777777777778"
"BAINBRIDGE NURSING & REHABILITATION CENTER","33.97806206772138","20.126005720542793","194.96666666666667"
"BERGEN NEW BRIDGE MEDICAL CENTER","33.89454481976895","31.862013278155054","356.0444444444444"
"PARKHOUSE REHABILITATION AND NURSING CENTER","33.71143929033923","45.16971197259238","290.6666666666667"
"BARN HILL CARE AND REHAB CENTER","33.67036332517928","29.27590979536853","142.45555555555555"
"MAINE VETERANS HOME - BANGOR","33.59744166481182","12.027066869639484","111.26666666666667"
"FAYETTE MEDICAL CENTER LONG TERM CARE UNIT","33.508862398452926","21.28711571255749","91.74444444444444"
"TERRACE OF HIALEAH  THE","33.462879819924304","11.357217617444316","248.57777777777778"
"THE CARE CENTER OF HONOLULU","33.44149853458283","18.2028750608561","174.0"
"ARCHCARE AT PROVIDENCE REST","33.23452148593414","20.13802658173658","194.2888888888889"
"RESORT NURSING HOME","33.2226879591578","11.032822472864083","206.14444444444445"
"NIGHTINGALE NURSING AND REHAB CENTER","33.104005602588124","18.406984173657087","106.57777777777778"
"FOREST HILLS HEALTHCARE CENTER.","33.06250889424489","37.64405497759314","104.5"
"ST JOSEPH'S MANOR","33.05888699709595","21.93149584451028","197.44444444444446"
"PALACE AT KENDALL NURSING AND REHABILITATION CENTE","33.05104498490565","25.84362622663125","173.13333333333333"
"AVANTARA PALOS HEIGHTS","33.04319138459392","25.662157296369696","147.56666666666666"
"GULF COAST MEDICAL CENTER SKILLED NURSING UNIT","32.997791997152085","0.0","72.88888888888889"
"HOOVERWOOD","32.975988242383245","22.687531877314132","145.06666666666666"
"ADVOCATE HEALTHCARE OF EAST BOSTON  LLC","32.971194740894866","25.814475743976192","125.63333333333334"
"BUENA VIDA REHAB AND NURSING CENTER","32.963893415506554","30.06578367443139","228.66666666666666"
"EMERSON HEALTH CARE CENTER","32.944101442678566","23.881713504967106","135.43333333333334"
"HIGHPOINTE ON MICHIGAN HEALTH CARE FACILITY","32.907158110832604","41.42528405290567","267.4"
"DELLRIDGE HEALTH & REHABILITATION CENTER","32.88596377127598","20.79924829198689","85.73333333333333"
"NEW HAVEN CENTER FOR NURSING & REHABILITATION LLC","32.87923178309815","21.662251963089147","130.11111111111111"
"DITMAS PARK CARE CENTER","32.84322291918702","18.167830298482084","205.26666666666668"
"BELLA TERRA STREAMWOOD","32.818829883845794","18.244027893569704","125.4888888888889"
"RIVER GARDEN HEBREW HOME FOR THE AGED","32.661955831496506","20.036602879572587","167.45555555555555"
"EAST HAVEN NURSING & REHABILITATION CENTER","32.65269100649331","16.238751408809946","197.01111111111112"
"HOME OF THE INNOCENTS","32.6405169125769","33.037538411352735","71.47777777777777"
"PHOENIX CENTER FOR REHABILITATION AND PEDIATRICS","32.58550034940731","38.86475487312786","198.94444444444446"
"CYPRESS GARDEN CENTER FOR NURSING AND REHAB","32.57648706349133","20.966808896532324","260.1"
"SAINT MARY'S VILLA NURSING HOM","32.56288164342715","13.673702196156176","81.2"
"GREENE MEADOWS NURSING AND REHABILITATION CENTER","32.52797952912524","23.352562397972875","111.47777777777777"
"TROY HEALTH & REHABILITATION CENTER","32.480705402910544","25.752237851680736","105.22222222222223"
"PALM GARDENS CENTER FOR NURSING AND REHABILITATION","32.47941535761588","32.248971594719166","231.63333333333333"
"REGEIS CARE CENTER","32.466937846933064","19.635004679924776","227.56666666666666"
"ASCENSION RESURRECTION PLACE","32.44160647021496","12.961965637333929","102.62222222222222"
"PA PETERSON AT THE CITADEL","32.4015422577475","21.721643132473964","122.9"
"MORRIS VIEW HEALTHCARE CENTER","32.34604536819674","29.19862196093971","263.8"
"THE HAMLET REHABILITATION AND HEALTHCARE CENTER AT","32.307987615944924","26.16695746109535","226.92222222222222"
"LONG ISLAND CARE CENTER INC","32.259462315170715","28.676560391182853","184.9"
"FORT TRYON CENTER FOR REHABILITATION AND NURSING","32.191997749458224","21.011133611562848","198.05555555555554"
"GOWANDA REHABILITATION AND NURSING CENTER","32.17496266562452","16.769994541333478","130.92222222222222"
"SOLARIS HEALTHCARE BAYONET POINT","32.16141648562836","28.504557407356856","165.34444444444443"
"ENTERPRISE HEALTH & REHABILITATION CENTER","32.13878094299979","19.19906802477525","151.85555555555555"
"AZRIA HEALTH WICHITA","32.0835371870993","30.52209528182647","64.6"
"NESHOBA COUNTY NURSING HOME","32.07118651828287","20.071580799927244","116.28888888888889"
"GREENWOOD HOUSE HOME FOR THE JEWISH AGED","32.00966473681952","31.132752878820384","114.37777777777778"
"CHRISTIAN HEALTH CARE CENTER","31.989650055512595","30.837488458764668","277.93333333333334"
"ST JOHN NEUMANN CTR FOR REHAB & HEALTHCARE","31.97812981007427","33.08490058096252","212.9111111111111"
"ALTA REHAB AT FAIRMONT","31.948171144100616","27.045637485031342","161.2"
"ST JOSEPH'S REHABILITATION AND RESIDENCE","31.9447474212777","26.11912707519391","136.55555555555554"
"BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE","31.93552812245777","33.632712348064345","272.56666666666666"
"ASHLAND PLACE HEALTH AND REHABILITATION  LLC","31.886574338664225","26.996603202827956","141.74444444444444"
"SOLARIS HEALTHCARE FOREST LAKE","31.783052147320443","45.99804506316806","199.12222222222223"
"LEMAY AVENUE HEALTH AND REHABILITATION FACILITY","31.726614358873125","22.056650209978127","120.67777777777778"
"WARREN BARR GOLD COAST","31.70729566384693","27.819532226178712","196.82222222222222"
"AVANTARA LINCOLN PARK","31.663307529305598","32.264954942099806","208.56666666666666"
"SYLACAUGA HEALTH AND REHAB SERVICES","31.572502046174296","15.830255220212926","126.73333333333333"
"LUTHERAN HOME  THE","31.531872265588383","25.235508751600022","175.34444444444443"
"ALAMEDA HOSPITAL D/P SNF","31.439625322241458","24.68709397019129","168.17777777777778"
"MEDILODGE OF GRAND BLANC","31.385272076318824","30.885313472796025","116.16666666666667"
"BRONX PARK REHABILITATION & NURSING CENTER","31.341846964367726","24.121626147556817","231.86666666666667"
"TRIBORO CENTER FOR REHABILITATION AND NURSING","31.331911910111845","53.35927836433174","397.34444444444443"
"EMERALD NURSING AND REHABILITATION CENTER","31.286163648876755","31.96392164669904","181.4111111111111"
"BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING","31.244210574832007","55.73509224158982","436.9111111111111"
"THE RIVERSIDE","31.075415381611254","36.38352899735603","496.3333333333333"
"MICHIGAN MASONIC HOME","31.068590930142285","17.52991824589793","89.9"
"BEDFORD HILLS CENTER","31.02665797320161","28.244311706441966","139.07777777777778"
"SHEEPSHEAD NURSING & REHABILITATION CENTER","30.937342172037386","29.123787104759646","195.84444444444443"
"AUTUMN LAKE HEALTHCARE AT PATUXENT RIVER","30.931766246376693","33.88813011621463","135.13333333333333"
"CARLTON AT THE LAKE  THE","30.912736230168225","25.898537380553652","179.12222222222223"
"LANDINGS OF WESTERVILLE HEALTH AND REHAB THE","30.889769057136416","26.139174230705365","108.95555555555555"
"JEWISH HOME AT ROCKLEIGH","30.74806511392302","35.53490318495619","181.6888888888889"
"HEALTH CENTER AT BLOOMINGDALE","30.726262216631007","43.71038813480263","106.16666666666667"
"AUTUMN LAKE HEALTHCARE AT CALVERT MANOR","30.72355084843575","22.999005324528635","137.56666666666666"
"WHITE OAKS REHABILITATION AND NURSING CENTER","30.701861114680305","37.26194529414186","185.63333333333333"
"NEIGHBORHOODS AT QUAIL CREEK  THE","30.68765260608753","22.346542155714015","97.12222222222222"
"THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB","30.67110436972277","36.08933907428863","234.14444444444445"
"SHORESIDE HEALTH AND REHABILITATION CENTER","30.65300676858622","34.027456687424305","140.7111111111111"
"BERKS COUNTY HOME- BERKS HEIM","30.57773959621169","38.82924269880683","304.0444444444444"
"RESTHAVEN CARE CENTER","30.533623812328234","28.831292136302554","141.13333333333333"
"KANSAS VETERANS HOME","30.53044736475598","14.386237669024622","79.12222222222222"
"MASONIC HOME OF LOUISVILLE","30.520779410570803","27.168668174053806","129.96666666666667"
"LIFE CARE CENTER OF WEST BRIDGEWATER","30.513662721331674","27.120976308069125","128.45555555555555"
"MATTHEWS HEALTH & REHAB CENTER","30.49358009428037","20.178840886881424","132.93333333333334"
"TRINITY VILLAGE","30.4815160881756","18.218679835372818","96.55555555555556"
"PARKVIEW NURSING","30.458962577964336","26.21887303682578","128.3"
"OAKVIEW HEALTH AND REHABILITATION","30.44835301806917","22.470510807220634","130.2111111111111"
"LAKEWOOD HEALTH SYSTEM","30.423758728886682","16.736996042207036","78.05555555555556"
"CLAREMONT NURSING & REHABILITATION CENTER","30.42172108731079","33.02354986226674","262.64444444444445"
"CHAPMAN HEALTHCARE CENTER  INC","30.400601934871236","25.70670244433925","145.9777777777778"
"MALUHIA","30.39752128648195","0.0","78.18888888888888"
"FUTURE CARE PINEVIEW","30.397024220864974","33.55900790840461","166.43333333333334"
"AUTUMN LAKE HEALTHCARE AT PIKESVILLE","30.3758289577761","22.36403924333318","115.62222222222222"
"FUTURE CARE IRVINGTON","30.370558282353326","29.772321547342774","177.7111111111111"
